old_id	author	comment	origin
2	rob phillips	Just fking awesome	Creep
3	ADVI UCHIHA	But i'm creep	Creep
5	Mike Zoulas	Tears and chill and tears and chill	Creep
6	尺乇ᗪ ㄒㄖ几Ꮆㄩ乇 & 卄卂几ᗪ丂	You are just like an angel, your skin makes me crry	Creep
7	Valentin Acosta	A MY GUSHHTAR RETE ARRTHISHIMO CHINGO	Creep
8	Pedruvz	this song is my age	Creep
9	dave clarke	"What is the lyric after he sings.. ""I wanna perfect body.. ""I wanna perfect soul.. I want you to __________ when I'm not around?""... Now is the missing blank ""NOTICE"" .. or Is it.. ""NO THIS"" ?"	Creep
10	The Harbour Homesteaders	This is how I feel in my soul	Creep
11	pöö pöö	LYRICS: When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fuckin' special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around So fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here She's running out the door (run) She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't belong here	Creep
12	duda	"Whenever I hear this song my heart breaks. My grandmother passed away on June 1st of that year, I saw her die in front of me and I could do absolutely nothing, this song was playing on my headphones while she was dying in that hospital bed, after that day I was never the same. I feel like crap for not showing how special she was to me, she was the only one who supported me in everything, she was always by my side, even if I was wrong. now after that i don't see any reason why i'm still alive, i'm just living for her.. ""what the hell am i doing here?"""	Creep
14	Blue Couch Productions	"Sorry about my previous comment Mr. Head. I've since come to Jesus and realized I'm not that weird. My mom called me a creep but what does she know? She ain't special. I am. Anyway, keep on rocking dudes. Check out my friend Mizuno, he kinda got that ""radiohead"" vibe ngl."	Creep
15	Blue Couch Productions	bro, I was listening to this song, and I kinda felt like a weirdo. Maybe even a creep? call me crazy but I wish I was special. so fucking special. keep it up Mr. Radio, this a bop on jah. (Apologies to Jah, I ain't met him in person.)	Creep
16	Sandra Franke	Special	Creep
17	MaxximusD	I’m in my 40s, hearing this for the first time in over 15 years, is like entering a time machine.	Creep
19	carla	Everybody loves this tune, but reminds me of my B.F Michelle..R... Don't let me down Believe, once I let you in my heart, to get out, you'll feel my wrath...	Creep
20	Danilo Martim	O HOMEM DO FUTURO!!!	Creep
21	Joe	People always make fun of this song, but it's very important to me. When I was young my dad used to always sing this to me, so since then it's always meant something important to me	Creep
22	UntitledKirk	I've always found it incredible that only 8 years later, they'd write albums like Kid A and Amnesiac. It's like they're an entirely different band on those albums. INCEREDIBLE musicians.	Creep
23	Steven Garcia	I'm a weirdo and I love this song this is my anthem till the day I die 🤘	Creep
24	vivalavita	Fantastico gruppo fantastica musica 👍 Queste sono le canzoni che rimarranno per sempre nel cuore e nei ricordi ❤️	Creep
25	juan carlos coral ruano	When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fucking special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't care if it hurts I wanna have control I wanna a perfect body I wanna a perfect soul I want you to notice When I'm not around You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here She's running out the door She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't belong here	Creep
26	Marcel Berndt	great as uasal	Creep
27	Xavi Langley	"""Radiohead"" is my favorite Creep song. 🥰🥰🥰😻😻😻❤️❤️❤️"	Creep
28	Connor's Food Review	Cause I am Pete,Peter griffin	Creep
31	Bob Kundoel15 Perdjoeangan	Perfect music and lyric..all perfect	Creep
32	gaydino1onyoutube	My favorite radio he's	Creep
34	BrokenMinister	Im a creep and weirdo...And I'm fuckin special just like rest of you !	Creep
35	Lizi Diasamidze	I wish i was special💜	Creep
36	Hmetalz	When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fuckin' special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around So fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here She's running out the door (run) She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't belong here	Creep
38	UK Gmail	Just the Billion views then... thanks boys... Saw you in the Chelmsford YMCA very early 90s... Snuck out of local widford lodge boarding school fire escape... No one was there 'cept us... Crowd of 30 tops.... Best story I have. Ever.	Creep
39	EL Phupphy	Wow.... Still a great song, even to this day. What a powerful voice the lead singer has.	Creep
40	Klifford Clover	This song is god “Your Eyes - Klifford Clover”	Creep
41	Robert Contreras	Dope	Creep
42	Roseberry Cruz	When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fuckin' special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around So fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here She's running out the door (run) She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't belong here	Creep
43	Jonathan Kleijssen	👎🏻 I actually like it	Creep
44	pool98rubio perez	Imagine watching this there whith them, on live	Creep
45	Victor Godeau	Lost a girl I trully loved for 3 years today because of the choices I made, could've made a move earlier and have it all but I wasn't sure about me, stop wandering around boys, you are special	Creep
46	Just The Meme Lords Next Door	Kinda mid	Creep
47	andy bosik	This dude is creeping me out.	Creep
49	Chris Kibbe	This reminds me of something I can't remember	Creep
51	silvia rey	When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fucking special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here Oh, oh She's running out the door She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't belong here	Creep
52	kp patel	Beats the self tik wankers	Creep
54	Teresa Lovitt	The best banger of all bangers for ever and ever Amen.	Creep
60	Nino Wrahatnala	This music was legends in every genre era, oldskool , till millenial genre.	Creep
61	its_Sisha_not_chair	When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fuckin' special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around So fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here She's running out the door (run) She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't belong here	Creep
62	Kratos Napolez	THIS MELODY TOUCHES MY SOUL AND MAKES ME HAPPY AND SAD AT THE SAME TIME 🤪😭	Creep
