	Comments
MUHARREM SEKMEN	MADDE DOLULUK ÖZELLİĞİ GÖSTERİR.
MUHARREM SEKMEN	BOŞLUK FARKLI ÖZNELLİK GÖSTERİR. SÜREÇ BOŞLUK ÖZELLİĞİ GÖSTERİR.
MUHARREM SEKMEN	ÖZNE SOYUTTUR. SOYUT ORTAK DÜŞÜNÜLÜR. SOYUT ASLA FARKLI DÜŞÜNÜLMEZ.
MUHARREM SEKMEN	NESNELLİĞİN DİLİ SOMUTTUR.
Dr Tim O'Shea	Great song - superb arrangement --  - but she's holding back  This is a song for Linda Ronstadt,  Bernadette Peters or Michelle Branch   ... missed opportunity to blow the roof off ---
MUHARREM SEKMEN	IŞIK MADDE YAPISINDADIR. BOŞLUK MADDE YAPISINDADIR.
MUHARREM SEKMEN	AN TEKİL ÖZNEDİR. ZAMAN ÇOĞUL ÖZNE ÇOĞUL ÖZNE OFTAK ÖZNEDİR. ÖZNE NESNE İLŞKİSİ DÜŞÜNÜLEMEZ. AN ZAMAN İLİŞKİSİ DÜŞÜNÜLÜR.
MUHARREM SEKMEN	BEN ORTAKLIK DÜŞÜNDÜREN ŞEYLER HAKKINDA KARAR VEREMEM. BEN FARKLI ŞEYLER HAKKINDA KARAR VEREBİLİRİM. ORTAK ŞEYLER HAKKINDA KARAR İNSANLAR VERİR. BEN İNSANIM BEN İNSANLAR DEĞİLM. BEN İNSANLARI İŞİNE KARIŞAMAM.
MUHARREM SEKMEN	İNSAN FARKLI GERÇEKTİR. BEN İNSANIM. BAŞKALARIDA İNSAN.
MUHARREM SEKMEN	DÜNYA ORTAK GERÇEKTİR BEN DÜNYA HAKKINDA TEK BAŞINA KARAR. VEREMEM.  BEN DÜNYA DEĞİLİM. DÜNYA HAKKINDA KARAR ORTAK VERİLİR.
MUHARREM SEKMEN	ORTAK GERÇEK BİR ORTAK OLMAYAN GERÇEK FARKLI DÜŞÜNÜLÜR.
MUHARREM SEKMEN	BANA GÖRE GERÇEKTE AYRILIK VARDIR.
MUHARREM SEKMEN	BEN ORTAK GERÇEK HAKKINDA KONUŞABİLİRİM. ORTAK OLMAYAN GERÇEK HAKKINDA KONUŞAMAM. ORTAK OLMAYAN GERÇEK VAR SAYILIR.
MUHARREM SEKMEN	BENDE  TE HATA BEN AYRI DİLLE SESLE KONUŞMUYORUM. AYNI SESLE KONUŞMAM HATA OLUYOR.
MUHARREM SEKMEN	GERÇEĞİ BAŞKALARIDA BİLİYOR. BAŞKALARI NE BİLİYOR BİLMİYORUM. BEN BAŞKALARINI BİLMİYORUM.
MUHARREM SEKMEN	SES SNIRLI KELİME SINIRLI CÜMLE SINIRLI. BEN SINIRLIYIM. BEN SINIRLI BİLİYORUM.
MUHARREM SEKMEN	ZAMANSIZLIK ZAMAN DÜŞÜNDÜRÜR. SES İLİŞKİSİNDEN DOLAYI. BU DİLDE ÇELİŞKİDİR.
MUHARREM SEKMEN	AYRI ANLAMLAR AYRI SESLE TARİF EDİLİR.
MUHARREM SEKMEN	ZAMAN AN SÜREÇ DÜŞÜNDÜRÜR.
MUHARREM SEKMEN	ZAMANSIZLIK TARİF EDİLEMİYOR..
MUHARREM SEKMEN	IŞIK SÜRECE AÇIK IŞIK BOŞLUĞA AÇIK.
MUHARREM SEKMEN	AYRI ŞEYLER AYRI SESLE TARİFEDİLİR.
MUHARREM SEKMEN	TÜRKÇEDE HATA VAR KONUŞMALAR TÜRKÇE OLUYOR.
MUHARREM SEKMEN	MEKAN BOŞLUK DÜŞÜNDÜRÜR BOŞLUK BÖLÜNÜR. SIFIR. EN ALT BÖLÜNÜR BOŞLUK.
MUHARREM SEKMEN	MEKAN BÖLÜNÜR. MEKAN BOŞLUKTUR. BOŞLUK MADDE YAPISINDA.
MUHARREM SEKMEN	ZAMAN BÖLÜNMEZ  SONSUZ SÜREÇ. ZAMAN  TAM TARİF BÖYLE. BAŞKA TARİF EDİLEMEZ.
MUHARREM SEKMEN	BOŞLUKSUZLUK BOŞLUK DÜŞÜNDÜRÜR. BU DİLDE HATADIR. BOŞLUK DEĞİLDİR DE BOŞLUK DÜŞÜNDÜRÜR. BU DİLDE HATADIR. BOŞLUK MADDE YAPISIDIR. SIFIR. BÖLÜNÜR EN ALT BOŞLUKTUR.
MUHARREM SEKMEN	AN AN 'A GÖRE BAŞKADIR. AN MEKANDIR MEKAN MADDEDİR. ZAMAN MEKAN DEĞİLDİR. ZAMAN ZAMANA GÖRE BAŞKA DEĞİLDİR.ZAMAN MEKANSIZDIR. AN' DAN AN'A ZAMANDAN GEÇİLİR.
MUHARREM SEKMEN	ZAMAN AN 'LAR ARASI ORTAK SÜREÇTİR.
MUHARREM SEKMEN	ZAMAN  BİR DÜŞÜNÜLÜR BİR SÜREÇTİR.
MUHARREM SEKMEN	ZAMANSIZLIK AN'DIR AN MEKANDIR MEKAN  AN 'DIR AN ÇOKLU SÜREÇTİR. BU TEK DÜŞÜNÜLMEZ.
MUHARREM SEKMEN	ZAMAN SÜREÇTİR. SÜREÇ BİRDİR. VE BİR TEK DÜŞÜNÜLÜR.
MUHARREM SEKMEN	ZAMANSIZLIK NESNEDİR VE NESNE AN'DIR. AN ÇOKLU YAPIDADIR. NESNE TEK DÜŞÜNÜLMEZ.   NESNE BİRSİZ TEK SİZDİR  NESNE ÇOKLU DÜŞÜNÜLÜR.
MUHARREM SEKMEN	ZAMANSIZLIK NESNEDİR NESNE AN DIR NESNE ÇOKLU YAPIDADIR.
MUHARREM SEKMEN	ZAMANSIZLIK MEKANDIR VE BU ÇOKLU DÜŞÜNÜLÜR. TEK DÜŞÜNÜLMEZ.
MUHARREM SEKMEN	IŞIK HEM ZAMANA  HEM ZAMANSIZLIK OLAN AN A  AÇIKTIR.  ZAMANSIZLIK AN   BU ŞEYDİR ŞEY NESNE. DİR. NESNE ÇOKLUDUR. ZAMAN SÜREÇTİR. SÜREÇ HİÇŞEYSİZ BİRDİR
MUHARREM SEKMEN	SÜREÇ BOŞLUK DEMEK HATALIDIR. SÜREÇ HİÇ BOŞLUK DEĞİLDİR. SÜREÇ BOŞLUKSUZ DUR. BOŞLUK MADDE YAPISIDIR. BOŞLUK KAPALIDIR. IŞIK YARI BOŞLUK YAPISIDIR.
MUHARREM SEKMEN	ŞEY NESNE YAPISIDIR. BOŞLUK NESNE DEĞİLDİR. BOŞLUK SÜREÇTİR. SÜREÇ ŞEYSİZDİR.
MUHARREM SEKMEN	BOŞLUK SÜREÇ ŞEY DEĞİLDİR. BOŞLUK ŞEYSİZDİR.
MUHARREM SEKMEN	BOŞLUK BİRDİR BİR  SÜREÇTİR. VE BİR SÜREÇ BÖLÜNMEZ YAPIDIR.
MUHARREM SEKMEN	BOŞLUK BİR DÜŞÜNÜLÜR. BİR SÜREÇTİR. SÜREÇ BÖLÜNMEZ.
MUHARREM SEKMEN	BİR TEK DEĞİLDİR.
MUHARREM SEKMEN	ZAMANSIZLIK ANSIZLIK TEK DEĞİLDİR.
MUHARREM SEKMEN	ANSIZLIK ZAMANSIZLIK ÇOKLU YAPIDIR. ÇOKLU YAPI  AÇIKLANIR.
MUHARREM SEKMEN	SÜREÇ BİRTEK DEMEK HATADIR.
MUHARREM SEKMEN	SÜREÇ BİRDİR. TEK ÇOKLU DUR.
MUHARREM SEKMEN	SÜREÇ BİR DÜŞÜNÜLÜR. BİR TEK DÜŞÜNÜLÜR. HATALI KAVRAMLA DÜŞÜNME HATA ÜRETÜR.
MUHARREM SEKMEN	ZAMAN VEYA  AN GEÇERSİZ KAVRAMLARDIR. GEÇERSİZ KAVRAMLAR. SÜREÇTE BÖLÜNME YE YOLAÇAR. BU  KAVRAMLAR İPTAL.EDİLİYOR.
MUHARREM SEKMEN	ZAMAN SIZLIK AN SIZLIK DEĞİŞGEN ÇOKLU YAPIDADIR. ÇOKLU YAPI  DEĞİŞİR
MUHARREM SEKMEN	SÜREÇ BOŞLUKTA BULUNUR BOŞLUK BÖLÜNMEZ YAPIDADIR.
MUHARREM SEKMEN	SÜREÇİ BÖLEN  KAVRAMLAR GEÇERSİZ KABUL EDİLİYOR. SÜREÇ BOŞLUKTUR. VE BU BİRTEK BİLİNİYOR.
MUHARREM SEKMEN	TEKRAR EDİYORUM SÜREÇTE BÖLÜNME BULUNMUYOR. SÜREÇ BİR BİLİNİYOR.
MUHARREM SEKMEN	GERÇEKTE SÜRECİ MEKANLA BİR SANIP. KARIŞTIRMA VARDIR. SÜREÇ MEKANIN DIŞINDADIR.
MUHARREM SEKMEN	MEKAN DOLULUK DÜŞÜNÜLÜR. DOLULUK ÇOKLU DÜŞÜNÜLÜR. BU ZAMAN SIZLIK AN SIZLIKTIR.
MUHARREM SEKMEN	BOŞLUK TEK DÜŞÜNÜLÜR. SÜREÇ BOŞLUK DÜŞÜNÜLÜR.
MUHARREM SEKMEN	SÜREÇ SADECE ZAMANDIR.
MUHARREM SEKMEN	GERÇEKTE SÜREÇTE AN BULUNMUYOR. BU HATA.
MUHARREM SEKMEN	GERÇEKTE HATA SÜREÇİ BÖLÜK DÜŞÜNME.
MUHARREM SEKMEN	ZAMAN BİR TEK DÜŞÜNÜLÜR. ZAMAN SIZLIK AN SIZLIK ÇOK DÜŞÜNÜLÜR.
MUHARREM SEKMEN	GERÇEK BİR ÇOK DÜŞÜNÜLÜR. GERÇEKTE İLİŞKİ IŞIKLA DÜŞÜNÜLÜR.
MUHARREM SEKMEN	BOŞLUK ZAMAN SIZLIK AN SIZLIKTIR.
MUHARREM SEKMEN	AN DEĞİŞİR ZAMAN DEĞİŞİR.
MUHARREM SEKMEN	SÜREKLİLİK DEĞİŞEN BİR ALGI.
MUHARREM SEKMEN	SÜREKLİLİK ANDA ZAMANDA DÜŞÜNÜR.
MUHARREM SEKMEN	SABİT BİR AN DÜŞÜNÜLMEZ BU HATA.
MUHARREM SEKMEN	SÜREKLİLİK BİR ÇOK DÜŞÜNÜLÜR. SÜREKLİLİK ZAMANDA  AZ   ANDA ÇOK  DÜŞÜNÜR.
MUHARREM SEKMEN	GERÇEK BİR ÇOK DÜŞÜNÜLÜR.
MUHARREM SEKMEN	SÜREKSİZLİK SABİT BİR AN  DIR SABİT BİR AN SÜREKLİ BİR AN DIR. . BU ZAMANSIZLIKTIR. MEKANDIR. MADDE MEKANDIR
MUHARREM SEKMEN	SÜREKSİZLİK MEKANDIR. SINIRLI YANİ SONLU DUR.
MUHARREM SEKMEN	SÜREKLİLİK ZAMANDIR.
MUHARREM SEKMEN	SINIRSIZ SÜREÇ SONLU MADDE YANİ  SINIRLIDAN  ÜSTÜN DEĞİLDİR.
Marlyn Franco1984	I cry almost everytime I sing this
MUHARREM SEKMEN	MADDE SONLU YAPIDADIR. IŞIK YARI SONLU.
MUHARREM SEKMEN	GERÇEKTE ZAMAN BİLGİSİNDE HATA BULUNUR. ZAMAN SÜREÇTİR VE SÜREÇ TEK DÜŞÜNÜLÜR.
MUHARREM SEKMEN	ZAMAN TEK DÜŞÜNÜLÜR.
MUHARREM SEKMEN	BOŞLUK SÜREÇ DÜŞÜNÜLMEZ. BOŞLUKTA SINIR BULUNUR. MADDE MEKANDIR. MEKAN  SINIRLI DÜŞÜNÜLÜR.
MUHARREM SEKMEN	MADDEDE SINIR BULUNUR. IŞIKTA YARISINIR BULUNUR.
MUHARREM SEKMEN	SÜREÇTE SINIR BULUNMAZ. ZAMAN. ZAMAN SINIRSIZ SÜREÇTİR.
MUHARREM SEKMEN	BAŞLANGIÇSIZ SONSUZ. HAYATTIR. HAYAT SÜREÇTİR. SÜREÇ NE BİLİNMEZ.
MUHARREM SEKMEN	SINIRSIZLAR BİR ÇOK OLUR.
MUHARREM SEKMEN	IŞIK SINIRSIZ BİLİNİR YARI AÇIKBOŞLUK.
MUHARREM SEKMEN	MADDE  SINIRSIZKAPALI BİLİNİR BOŞLUK.
MUHARREM SEKMEN	ZAMAN SINIRSIZ AÇIK BİLİNİR BOŞLUK.
MUHARREM SEKMEN	ZAMAN BİLİNMEZ DEĞİL.
MUHARREM SEKMEN	IŞIK YARIAÇIK YARI SINIRLI BİR BOŞLUK.
MUHARREM SEKMEN	MEKAN SINIRLI  BİR BOŞLUK.
MUHARREM SEKMEN	ZAMAN BİLİNMEZ SINIRSIZ AÇIKBİR  BOŞLUK.
MUHARREM SEKMEN	IŞIK YARI BOŞLUKTUR. YAR BOŞLUK YARI KAPALILIK ÖZELLİKTEDİR. IŞIK YARI MADDE ÖZELLİĞİ GÖSTERİR.
MUHARREM SEKMEN	ZAMAN HERHANGİ BİR SINIRSIZ BOŞLUKTUR.
MUHARREM SEKMEN	IŞIK YARI BOŞLUKTUR.
MUHARREM SEKMEN	ZAMAN BOŞLUKTUR.
MUHARREM SEKMEN	ZAMAN BOŞLUKTA BULUNUR. BOŞLUK İLERİ YÖNDÜR.
MUHARREM SEKMEN	ZAMANDA YÖN BULUNUR. YÖN İLERYE DOĞRU İLERİ YUKARIDIR. YÖN UZAYDA DIR. .  UZAY  ZAMANDADIR. YÖNDÜR. ZAMAN SÜREÇTİR. SÜREÇ YAVAŞ İLERLER.
MUHARREM SEKMEN	IŞIK ALGILANAN BOŞLUKTUR. IŞIK HAFIZADIR. HAFIZA BOŞLUKTUR.
MUHARREM SEKMEN	TAM BİR ÇOK.
MUHARREM SEKMEN	BİRŞEY NE KADAR TAM.
MUHARREM SEKMEN	IŞIK TAM TAM. BOŞLUKTUR. HAYAT YARIAÇIK BOŞLUK. IŞIKTAN HAYATA GEÇİŞ BULUNUR. HAYAT RUHTUR.
MUHARREM SEKMEN	ZAMAN TAM BOŞLUK. IŞIK YARI BOŞLUK. GERİSİ HİKAYE HİKAYE. BİLİNMİYOR.
MUHARREM SEKMEN	MADDE ZAMANA KAPALIDIR. AÇIKLI IŞIKTADIR. IŞIK YARI. BOŞLUK ÖZELLİĞİ  GÖSTERİR.
MUHARREM SEKMEN	ZAMANDA HATA  OLDU ZAMAN BOŞLUKSUZ DEĞİL. ZAMAN. BELLİ. ZAMAN. BOŞLUKTUR. MADDE BOŞLUKSUZ YAPIDIR.
MUHARREM SEKMEN	ZAMANA İNANÇ OLUNUR. ZAMAN.
MUHARREM SEKMEN	IŞIK YARI BOŞLUK. YARI BOŞLUK YARI MADDE.
MUHARREM SEKMEN	TAM VURGUSU BELLİ BİR HATA.
MUHARREM SEKMEN	ZAMAN TAM BOŞLUK HATA. ZAMAN TAM BOŞLUKSUZ YAPI.
MUHARREM SEKMEN	IŞIK TAM AÇIK BOŞLUK. MADDE TAM KAPALI. BOŞLUK.
MUHARREM SEKMEN	ZAMANDA BOŞLUK TAM AÇIK IŞIKTA BOŞLUK YAR AÇIK . MADDE TAM KAPALI BOŞLUK.
MUHARREM SEKMEN	MADDE KAPALI BOŞLUK OLUYOR.
MUHARREM SEKMEN	KAPALI BOŞLUKSUZ YAPI AÇIK BOŞLUK OLUYOR. ZAMAN AÇIK BOŞLUK OLUYOR.
MUHARREM SEKMEN	BİRDE KAPALI MADDE OLUYOR.
MUHARREM SEKMEN	BİRDE KAPALI MADDE OLUYOR.
MUHARREM SEKMEN	KARAR DEĞİŞYOR. UZAY AÇIKMADDE . OLUYOR. UZAY AÇIK BOŞLUK OLMUYOR.
MUHARREM SEKMEN	ZAMAN BOŞLUKSUZ OLUYOR.
MUHARREM SEKMEN	UZAY AÇIK BOŞLUK MADDE KAPALI BOŞLUK. ZAMAN. TARİFSİZ OLUYOR. HENÜZ.
MUHARREM SEKMEN	BİLGİYE İNANAÇ OLUYOR.
MUHARREM SEKMEN	BİGİ DE KUSURSUZ İLŞKİLENDİRME OLUYOR. ÖZNEL ZAMAN. BİLGİ OLUYOR. HERŞEY IZAYIN İÇİNDE OLUYOR. BİLGİ UZYAYIN DIŞINDA BULUNUYOR. UZAYIN İÇİNDE OLAN HERŞEY NESNEL OLUYOR.
MUHARREM SEKMEN	BİLGİDE TARAF GİDİLMİYOR.
MUHARREM SEKMEN	BOŞLUKTA KAPALILIK BULUNMUYOR. BİLGİ BOŞLUKTA BULUNUYOR.
MUHARREM SEKMEN	AÇIK BOŞLUK KAPALI BOŞLUKTAN BAŞKA OLUYOR.
MUHARREM SEKMEN	BİGİ ZANANI BAŞKA OLUYOR. BİLGİ ÖZNEL ZAMAN OLUYOR.
MUHARREM SEKMEN	BİLGİ UZYAYIN DIŞINDA BULUNUYOR.
MUHARREM SEKMEN	BİLGİ AÇIK BOŞLUKTA BULUNUR.
MUHARREM SEKMEN	BİLGİ RUH OLUYOR. RUH ARANIYOR.
MUHARREM SEKMEN	BİLGİ İNSANDA BULUNUYOR. .
MUHARREM SEKMEN	HAYAT UZAYDA HATA OLUYOR.
MUHARREM SEKMEN	HAYAT BİLGİ OLUYOR.
MUHARREM SEKMEN	IŞIK HAFIZA OLUYOR.
MUHARREM SEKMEN	BİR YERDE HATA OLUYOR.
MUHARREM SEKMEN	ZAMAN AÇIK BOŞLUKTA BULUNUR.
MUHARREM SEKMEN	IŞIK UZAYDA BİLİNİYOR.
Mohamed Guerfel	when music was still alive
MUHARREM SEKMEN	YANLIŞ SİLİNİR.
MUHARREM SEKMEN	BOŞLUKTA KAPALILIK BULUNUR.
MUHARREM SEKMEN	. ZAMAN BOŞLUKTA BULUNUR
MUHARREM SEKMEN	AN UZYAYIN DIŞINDA BULUNUR. AN ZAMANA BAĞLIDIR.
MUHARREM SEKMEN	IŞIK  UZYAYIN DIŞINDA BULUNMAZ. BU HATADIR.
MUHARREM SEKMEN	HAYIR IŞIĞIN DOĞASI BELLİ DEĞİLDİR.
MUHARREM SEKMEN	HAYAT UZAYDA BULUNUR. HAYAT ACIMASIZDIR.
MUHARREM SEKMEN	ZAMAN UZYAYIN DIŞINDA BULUNUR.
MUHARREM SEKMEN	HERSÖYLEVDE YANLIŞANLAMA VARDIR. BİR YERDEN HERŞEY BİLİNİYOR.
MUHARREM SEKMEN	SON SIR VERİLMEYECEK.
MUHARREM SEKMEN	KELİMELERDE HATA VARDIR. GERÇEKTE ERKEKLER ACIR. ACIMASIZ HAYAT PİSLİK SAYILACAK. PİSLİĞİN YAŞAMASI ŞARTA BAĞLI OLACAK ŞART ERKEKLER ÜSTÜN TUTULACAK.
MUHARREM SEKMEN	ZAMAN DIŞUZAYDIR.
MUHARREM SEKMEN	DIŞUZAYDA MADDE BULUNMAZ
MUHARREM SEKMEN	MADDE İÇUZAYDIR.
MUHARREM SEKMEN	MADDE İÇUZAY İÇİNDE  BULUNUR.
MUHARREM SEKMEN	ZAMAN BÜYÜDÜR. BÜYÜ MUCİYE YAKINDIR.
MUHARREM SEKMEN	MUCİZE MADDEYİ TİTRETİR. MUCİYE İNANILACAK. MADDE SİHİRDİR. MUCİZE SİHİRİ TİTRETİR. ERKEK SİHİRDİR. SİHİR KÖTÜLÜKTÜR
MUHARREM SEKMEN	IŞIK MUZİCEDİR.
MUHARREM SEKMEN	IŞIKTAN EMİR BÖYLE GELİR.
MUHARREM SEKMEN	KÖTÜLÜK. YAŞAYACAK. İYİLİK ÜSTUTMAK ŞARTIYLA
MUHARREM SEKMEN	ACI KÖTÜLÜKTÜR.
MUHARREM SEKMEN	ACYA İNTİKAM ALINMIYACAK. ERKEK ACIVERİR.
MUHARREM SEKMEN	IŞIK ZAMANDAN YANAOLACAK.
MUHARREM SEKMEN	ERKEĞİN ASLINI IŞIKBİLİR. KADIN ÜSTÜN TUTULACAK ASLI YOKSA YOK  EDİLECEK. YAŞARSA ŞARTA BAĞLI YAŞAYACAK. YOKSA HİÇLİK GÖZE ALINACAK.
MUHARREM SEKMEN	ŞART IŞIKDAN GELİR. IŞIK HERŞEYİ BİLİR. IŞIK  GERÇEK BİLGİDİR.
MUHARREM SEKMEN	BEYAZDELİK ÜSTÜN TANINACAK. BEYAZDELİK KADINDIR.
MUHARREM SEKMEN	ZAMAN BEYAZ DELİKTİR.
MUHARREM SEKMEN	ŞART ZAMAN ÜSTÜN TANINIR.
MUHARREM SEKMEN	ŞARTA BAĞLI   AFFEDİYORUM.
MUHARREM SEKMEN	ERKEKİN ASLI YALANDIR. YALANDAN KASTİM ZAMAN DEĞİLDİR.
MUHARREM SEKMEN	ZAMAN BEYAZ DELİKTİR.
MUHARREM SEKMEN	IŞIK ZAMANSIZ İLERLER.
MUHARREM SEKMEN	ACISIZI ACYA  KILDIM. ZAMANDA ADALET BULUNURç. PUT TA ADALET PUT ACISIZ YAŞAR.  ZAMAN ANI NA  EŞİTTİR.
MUHARREM SEKMEN	ACISIZLARIN KADERİNE ACI YAZDIM. ACIDAN KUTLUŞ YOK.
MUHARREM SEKMEN	PUTUN ASLI MADDEDİR.MADDE DERİN MEKANDIR  PUT ZARURİ YAŞAR.
MUHARREM SEKMEN	ERKEİĞİN ASLI ZAMAN YAŞAR. BEN ZAMANA AŞIĞIM. ZAMAN ÖZGÜR YAŞAR.
Meadow full of daisies	🎶🎤✨✨✨
MUHARREM SEKMEN	ÖZGÜRLÜK RAHMETTİR. ZARURİYET LANETTİR.
MUHARREM SEKMEN	ZAMAN ÖZGÜR AKAR. ZARURİYET LANETTİR. LANET KENDİNEDİR.
MUHARREM SEKMEN	KAOS YOKLUKTA OLUNCAYA KADAR SÜREKLİ DEVAMEDECEK
MUHARREM SEKMEN	ZAMAN YOKLUKTA BULUNUR. AŞK YOKLUKTADIR. YOKLUK ÖZGÜR AKAR.
MUHARREM SEKMEN	BEN HATALI SÖYLÜYORUM.
Игорь Бабошин	Лапочка  мая
Игорь Бабошин	Лапочка  мая
MUHARREM SEKMEN	GERÇEKTE SÜREÇ YALAN.  SÜREÇ İNSANİ BİR OLGU. BENİM  İÇİN.
MUHARREM SEKMEN	BENDEN GELEN HERŞEY YALAN.
MUHARREM SEKMEN	"BEN GERÇEĞİ. BİLMİYOR UM
BU KONUDA SÖYLEDİKLERİM KESİN DEĞİLDİR."
MUHARREM SEKMEN	BEN DE ÇARPIKLIK VAR. BU BİR KAOSTUR.
MUHARREM SEKMEN	KİŞİ KAOS ALGILAR.
MUHARREM SEKMEN	KAOS SOMUT BİRŞEYDİR.
MUHARREM SEKMEN	KAOS EİŞİT DEPİŞMEME.
MUHARREM SEKMEN	SOMUT YÜZEYSELDEN DERİN  OLUR.
MUHARREM SEKMEN	BİLGİ SOMUT TARAFI VARDIR.
MUHARREM SEKMEN	SÖYLEV AÇIKLAMA GETİREBİLİR.
MUHARREM SEKMEN	SÖYLEVLER BİLGİ ÜZERİNE NİTELİKSİZ OLABİLİR.
MUHARREM SEKMEN	IŞIK KAPALI BİR YÜZEY MADDESİDİR.
MUHARREM SEKMEN	BEN BİLGİNİN DOĞASINI TAM BİLEMEM.
MUHARREM SEKMEN	BİLGİ TESTE DAYALIOLMALIDIR. BİLİNENDEN YOLA ÇIKARAK  EDİNİLEN BİLGİ TARTŞMALIDIR
MUHARREM SEKMEN	GENEL ANLAYIŞLARDAN KAÇINILMALIDIR.
MUHARREM SEKMEN	BU BİR KOMEDİDİR.
MUHARREM SEKMEN	İLK HAYAT CAHİLLERDEN YANADIR.
MUHARREM SEKMEN	BİLGE   HEP KAZANMA OLSASILIĞI YAPARKEN. ÇAHİL HESAPSIZ OLASILIKLA  ÇOKTAN KAZANIR.
MUHARREM SEKMEN	CEHALET DEĞİŞKEN KESTİRİLEMEZ OLASILIKTA HAREKETEDER. BİLGE KESTİRİLİR.
MUHARREM SEKMEN	HAYATTA  EKSİKOLAN BİRŞEY VAR KOMEDİ. ZAMANINDA BİLGELERİ CAHİLLER YÖNETİR.
MUHARREM SEKMEN	IŞIK BİR YÜZEY MADDESİDİR.
MUHARREM SEKMEN	GERÇEKTE SADECE DEĞİŞGENLİK DERECELERİ BULUNUR.
MUHARREM SEKMEN	ZAMAN SIZLIK MADDE SÜRECİ. MADDE SÜRECİ DAHA AZ DEĞİŞGEN.
MUHARREM SEKMEN	SÜREÇ BİR KEZ AYNIYSA HER ZAMAN HARKLI OLMUŞ DEDEĞİLDİR.
MUHARREM SEKMEN	SÜREÇ BİR KEZ DEĞİŞMİŞ İSE HER ZAMAN AYNI OLMUŞ DEĞİLDİR.
MUHARREM SEKMEN	BOŞLUKTA SÜREÇ DEĞİŞGEN AKAR.
MUHARREM SEKMEN	BİLGİ SÜRECE BAĞLI.
MUHARREM SEKMEN	YAŞAMDA HERŞEYE BİR ÇARE BULUNMALIDIR.
MUHARREM SEKMEN	HAYAT BİR SÜREÇTİR SÜREÇ KENDİNE İŞLER.
Mauricio Cruz	grandes recuerdos 1980 nuestra juventud gracias por tu música grupo ABBA
MUHARREM SEKMEN	AŞKTA ANORMALLİK VAR. AŞK NORMAL SANILIR.
MUHARREM SEKMEN	AŞKI  BİR KİMSE  SANIRSIN AŞKTA KORKUNÇ AZAP VAR. AŞK HERKESE DUYULUR.
MUHARREM SEKMEN	AŞK NEFRETTEN İLERİ GELİR. SEVGİYİ ARAR.
MUHARREM SEKMEN	MULİ.
MUHARREM SEKMEN	BİLGİ AŞKINI ARIYOR. BİLGİ TANRININ KENDİSİ.
MUHARREM SEKMEN	TANRI BİLGİNİN KENDİSİ.
MUHARREM SEKMEN	TANRI  AŞK DOĞASINI ARIYOR.
MUHARREM SEKMEN	BİR TANRI AŞK ARIYOR.
MUHARREM SEKMEN	BİR AŞK TANRISI ARIYOR.
MUHARREM SEKMEN	BİR TANRIYI ARIYORUM BİR AŞK TANRISI.
MUHARREM SEKMEN	KAYIP İKİ TANRININ BİRBİRLERİNİ ARAYIŞIDIR HEP.
Ирина Иванова	Посмотрите Мирей Матье с той же песней!
MUHARREM SEKMEN	SES BOŞLUKTA İLERLER.
MUHARREM SEKMEN	KOAİS BİLİNMEZ BİRMİ
MUHARREM SEKMEN	KOAİS S BİR BİLNMEZMİ
MUHARREM SEKMEN	KAİOS BİR ÇÖZÜLÜRMÜ.
MUHARREM SEKMEN	KİOS NASIL ÇÖZÜLÜR.
MUHARREM SEKMEN	KİYOS NE ÇÖZÜLÜR
MUHARREM SEKMEN	KİOS HEP ÇÖZÜLMEZ.
MUHARREM SEKMEN	SEN  KAOSİ N DİLİNİ ARIYORSUN KOASİN KOASİN DİLİ BİLİNMEZ.
MUHARREM SEKMEN	"FARKLI DEĞİŞİM FARKLI DEĞİŞİME GÖRE SÜREKLİ FARKLI DEĞİŞİR. BU KAİOS
STUR. KAİOS BUDUR."
MUHARREM SEKMEN	BU İKAOSTUR.
MUHARREM SEKMEN	DEĞİŞGEN GERÇEK DEĞİŞGEN GERÇEĞE GÖRE SÜREKLİ DEĞİŞGEN DEĞİŞİR. BU İKAOSTUR. İKAOS BUDUR.
MUHARREM SEKMEN	DEĞİŞGEN GERÇEK  DEĞİŞGEN GERÇEĞE GÖRE SÜREKLİ  DÜZENSİZ DEĞİŞİR.
MUHARREM SEKMEN	KONUŞMALARDA HATALAR OLABİLİR HATALAR OLMAYABİLİR. DURUM  DURUMA  GÖREDİR.
MUHARREM SEKMEN	DURUMLARI BİRAZ ABARTMIIŞOLBİLİRİM.
MUHARREM SEKMEN	CEHALET HİÇBİRŞEY BİLMEZ KAZANDIRIR. BEN HALA BİLDİĞİMLE  KAZANDIRMAYA ÇALIŞIYORUM.
MUHARREM SEKMEN	BEN BENDEN DEĞİL BİLDĞİM DEN UTANIYORUM.
MUHARREM SEKMEN	SİZ BELLİ BİR OLASILIKTA ÇALIŞIRSINSINIZ. CEHALET HİÇ YANİ SONSUZ OLASILIKLA  ÇALIŞIR. CEHALET BAŞTA KAZANIR. SİZ HALA KAZANMAYA ÇALIŞIRSINIZ.
MUHARREM SEKMEN	SİZ KURAL DİNLERSİNİZ BİLGE KURAL DİNLER. CEHALET HİÇ KURAL DİNLEMEZ.
MUHARREM SEKMEN	SİZ  GERÇEK BİR BİLGEYİ CEHALETİN ELİNDEN KURTARAMAZ SINIZ.
