	Comments
Robby Robbe	One word: EPIC❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
Harald Sletterød	Agnteha looks pissed off and Bjorn looks very uncomfortable. I can`t imagine the awkwardness recording this music video.
LEGO PINOY BOY	OG
Артур Сулейманов	Каждый прекрасен по своему, долгие вам лета.
Emanuela De Paolo	❤😍🥰
josef höllenbauer	My Love departed from me last September for another guy ... this song perfectly expresses what's going on in me. (This and Yesterday from the Beatles.) One is the winner and gets everything. The other one the loser, losing all.
Kiwinz94	Born in 1963. I came back from college when I heard this song! Thanks to my grandmother born in 1916! She bought this vinile especially for me, but she loved the song too! She was from Normandy, France. Thanks my beloved grandmother, every time I hear that song, I think about the great love we had for each other! I miss you very much!
Baronstone	My goodness, I had such a crush on her back then!
Wacha	Aghnete i love foreveer
Abdelkader Boughalem	"I don't wanna talk
About things we've gone through
Though it's hurting me
Now it's history

I've played all my cards
And that's what you've done too
Nothing more to say
No more ace to play

The winner takes it all
The loser's standing small
Beside the victory
That's her destiny

I was in your arms
Thinking I belonged there
I figured it made sense
Building me a fence

Building me a home
Thinking I'd be strong there
But I was a fool
Playing by the rules

The gods may throw a dice
Their minds as cold as ice
And someone way down here
Loses someone dear

The winner takes it all (takes it all)
The loser has to fall (has to fall)
It's simple and it's plain (it's so plain)
Why should I complain? (Why complain?)

But tell me, does she kiss
Like I used to kiss you?
Does it feel the same
When she calls your name?

Somewhere deep inside
You must know I miss you
But what can I say?
Rules must be obeyed

The judges will decide (will decide)
The likes of me abide (me abide)
Spectators of the show (of the show)
Always staying low (staying low)

The game is on again (on again)
A lover or a friend (or a friend)
A big thing or a small (big or small)
The winner takes it all (takes it all)

I don't wanna talk
If it makes you feel sad
And I understand
You've come to shake my hand

I apologize
If it makes you feel bad
Seeing me so tense
No self-confidence
But you see

The winner takes it all
The winner takes it all

So the winner takes it all
And the loser has to fall
Throw the dice, cold as ice
Way down here, someone dear
Takes it all, has to fall
And it's plain, why complain?"
Aslan Batyrov	Группа шведская, а песни на английском языке)
Rodrigo Paolinelli	The best song fron ABBA
Armando Aldana	best most beautiful song ive ever heard !!
Валерий Скрипка	Какая длинная сопрано с опупенной вибрацией... Оббббожаю
Anna	"🥀The winner takes it all🥀
Победитель получает все
I don't wanna talkЯ не хочу говоритьAbout the things we've gone throughО том, что мы прошли.Though it's hurting meПусть это меня и ранит,Now it's historyНо это в прошлом.I've played all my cardsЯ сыграла все свои карты,And that's what you've done tooТы сыграл свои.Nothing more to sayНечего больше сказать.No more ace to playНет тузов для игры.
The winner takes it allПобедитель получает все,The loser standing smallПроигравший остается с малым,Beside the victoryВ стороне от победы -That's her destinyЭто её судьба.
I was in your armsЯ была в твоих руках,Thinking I belonged thereДумала, я принадлежу им,I figured it made senseПредставляла, что это имеет смысл.Building me a fenceСтроила себе ограду,Думала, что буду сильной в нем,But I was a foolНо я была глупа,Playing by the rulesИграя по правилам.
The gods may throw a diceБоги могут кинуть кости -Their minds as cold as iceИх мысли холодны как лед -And someone way down hereА кто-то здесь внизуLoses someone dearПотеряет кого-то дорогого.The winner takes it allПобедитель получает все,The loser has to fallПроигравший должен упасть.It's simple and it's plainВсе просто и понятно,Why should I complain.На что мне жаловаться?
But tell me does she kissНо скажи мне, разве она целуетLike I used to kiss you?Так, как я тебя целовала?Does it feel the sameЧувствуешь ли ты то же,When she calls your name?Когда она называет твое имяSomewhere deep insideГде-то в глубине душиYou must know I miss youТы должен знать - мне тебя не хватает,But what can I sayНо что я могу сказать -Rules must be obeyedНужно соблюдать правила.
The judges will decideСудьи решат,The likes of me abideЧто такие, как я, должны смириться,Spectators of the showСторонние наблюдателиAlways staying lowВсегда отмалчиваются.The game is on againИ игра начинается по новой -A lover or a friendЛюбовник или друг?A big thing or a smallМного или мало?The winner takes it allПобедитель получает все.
I don't wanna talkЯ не хочу говорить,If it makes you feel sadЕсли это тебя расстраивает,And I understandИ я понимаю -You've come to shake my handТы пришел пожать мою руку.I apologizeИзвини,If it makes you feel badЕсли ты расстраиваешься,Seeing me so tenseВидя меня такой напряженной,No self-confidenceТакой неуверенной...But you seeНо ты же видишь...The winner takes it allПобедитель получает все,The winner takes it all...Победитель получает все...😭"
Maria Duarte	Joelma do Calypso kk
TUHIRIRWE AGATHA	I cannot stop listening to this song😍😍😍😍😍😍😍😍
Jeff Edwards	She is as beautiful as her voice!!
captain howdy	I spawned 2 years after this trainwreck of a music song
Fuad Alizada	Come back and say that you love me.🎠
Susan Boyle	Yes but did you see the film see had just given birth so horrible this woman had to go through this tragic
Sylvain Gomez	Amazing song, amazing singer !
Gracie Star	There is a real sadness in her eyes. She is still breathtaking beautiful
Aleksandar	Predivno... 💔
Bouhouche Khaled	With out comment
Joseph Gilligan	I grew up with wonderful music. I was 12 in 1980. Just superb song.
Tanita As	Единственная кто спела также это Роза Рымбаева first love первая любовь..
Michael	❤🙂
Devon Medway	@2:51 is the moment!
Alexandr Věchtík	Best song from the Abba. I love this song forever.
Denise Kemp	2022, and this song still hits hard!🔥🔥🔥
finky	Pour répondre à votre question ? Si DIEU ? Joue aux 🎲 🎲 ? Je crois que toutes les combinaisons sont déjà faites ? Puisque, nous jouons ? Puisse-vous trouverez les réponses ? .  ( 03-01-2023 à 04h54 )( en version féminin et masculin, garçon et fille, monsieur et madame, mari et concubine... bref) , .
Ana Maria Cuperio	🎉génial
Rosemeri De Almeida	Música linda 😍 despierta sentimientos y amores... eterno amor y sucesso 👏❤️
leo270480	scrivete in ITALIANO CHE NUN VE CAPIMO...COMUNQUE GRANDE CANZONE
Mohamed Zebroud	You win today , you may lose tomorrow . Don’t forget this
Александр Потетинов	не знаю этот язык,набираю по заглавным, Ютуб отзывается,.     Благодарность что эти песни сохранили.!!!!!!!!!
Agunk Art	Lagu ini sangad dalam, walaupun gk tau artinya wkwkw
Junior Rodrigues	Essa passada de língua que ela da nos lábios tira qualquer um de sério
Aidan Arnott	This song unravels every thread of my sanity without fail
David	What is also noticeable with this song is that anyone who does a cover of it just cannot carry it off like Agnetha and Abba. Same with all their songs, really
Χρυσούλα  Μιχάλα	Classic and wonderful!
Eduardo Aguiar	❤
Альбина Тамаева	Лучшая песня всех времён и народов👌
L D hirantha2001	"Everlasting performance 
ABBA❤️"
Sonja	Allasvåran abba🫠💗💕💗💐🌹💐🌹💐
Katherine Leroux	Je crois que cette chanson devrais être près de la fin du disque....car je connais pas dans ma mémoire d'avoir attendu dans mon  lit ((âgé de 5 ans) votre album GOLD  je le connais grâce a mes parents. 😊j'ai 48ans  je vous adore
pogranesz	Класс!!!
Jeni	CRIMINALI DROGATI SONI FALSI LADRI PAPONI 💚💚💚💚💚💚💚💚💯💯💯
Елена Рабданова	Шикарно;!! ;;
GICHANG KIM	"ABBA가 영원하듯이 Agnetha의 ""The Winner takes it all""도 영원히 우리들 곁에 남아있어요. 가슴을 파고 드네요."
Holger Schmidt	"Oh

Goose bumps

Don't know why! At first. New hearing 🤔"
Владимир Владимиров	🇷🇺❤️🎼
Mal	The last seconds of the song I’m like : 😭😭
Maurice Toboul	Que de bon souvenirs sur cette chanson. Toute ma jeunesse sur ce groupe. merci vous resterez immortelle.
spencer thoroughman	"There's so much to be said 
This song says it all"
ANA paula	❤️❤️❤️❤️❤️😘😘😘🤗❤️❤️❤️❤️🙏🙏🙏🙏🌹🌹😘😘
Christopher Maer	I think this is the best song ABBA ever made so you think?
Игорь Гутый	Хорошее было время 70- 80е....
Jaime Eduardo Vivar Arevalo	Esta canción toca fibras tan internas que los recuerdos quedan la plena luego de una ruptura tan dolorosa cuesta recuperarse y mucho allí los sueños las aspiraciones todo lo que un día querías brindar todo esa vida que querias vivir con quien fue tu amor se va a la basura mas duele cuando quien te lo hace es quien menos pensarias  inculso me entere por otros medios de muchas cosas ni siquiera ella me dijo no pedí explicaciones solo me fui tratando de entender por qué pasó ella de todos modos no te daría razones como dice ese verso el ganador se lo lleva todo no solo el hombre que hoy es su esposo se ganó el derecho de tenerla a su lado sino de convertirla en mamá ya con eso que puedo reclamar a la vez tener hijos eso no le reprocho sino el que no me haya sido sincera conmigo si lo hubiera sido de seguro hubiera cambiado de parecer pero no lo hizo eso jamás se lo perdone pero me tomo como un tonto ya con eso el tipo podría decir que fue el ganador que se la llevó y que el perdedor solo debe retirarse sin responder ni hablar y te das cuenta que ya no es tu lugar que solo estás de sobra pensé en Vergarme darle ese golpe como ella me dio pero no lo hice al contrario le di un regalo de bodas  s la distancia y eso me gustó fue mi respuesta la muestra que a pesar de lo que lo que me había hecho le brinde el regalo de matrimonio a distancia de entregarle a quien se la ganó en matrimonio y dejarla ser libre y dejarla ser feliz podrá sonar algo tonto pero vi que no valía la pena caer tan bajo con una venganza cuesta superar que alguien que amaste que hoy la miras y te das cuenta que ya no es para ti tener otro amor quizá cuesta pero es nesesario esta canción toca una fibra tan profunda más claro el que da en el clavo es el ganador y quien pierde solo debe retirarse no reclamar ni hablar sólo recoger los pedazos de tu corazón y reconstituir todo tu mismo esa parte que quedó mal por que el estar roto no te da derecho a dañarle la vida a nadie ni siquiera a quien te hizo lo peor esta canción es clara en el amor el ganador se lo lleva todo que otro significado hay para eso
Shirl73	I was 7 when I heard it for the first time, I found it was a very beautiful melody but something sad at the same time in this, despite I didn't know any english word at that time
Gustavo Espósito	Não tem coisa melhor que anos 70 80 90. Quem nasceu de 2000 pra cá não sabe o que é música muito menos cantor. Abba por exemplo é uma das melhores coisas que eu já ouvi na minha vida. Uma música melhor que a outra . Essa música por exemplo da pra perceber emoção na hora de cantar a música é lindíssima a voz dela é lindíssima
Roger Gongora	For  me  she  is  the  most  beautiful  woman  in  the  world .
stej enli	пройдемо зиму, що два пальця..
